,koi,kic,teff,uteff,logg,ulogg,fe,ufe
0,1,11446443,5850,50,4.45610879144,0.028505951545,-0.15,0.1
1,2,10666592,6350,80,4.0221292163,0.0127517385142,0.26,0.08
2,5,8554498,5753,75,4.00692078193,0.0313969198334,0.05,0.1
3,7,11853905,5781,76,4.10556647707,0.0353524125615,0.09,0.1
4,41,6521045,5825,75,4.12547936708,0.0313677272664,0.02,0.1
5,42,8866102,6325,75,4.26483349385,0.0190580691345,0.01,0.1
6,64,7051180,5302,75,3.76577644495,0.0382248121334,-0.0,0.1
7,69,3544595,5669,75,4.46847277124,0.0319244616424,-0.18,0.1
8,72,11904151,5627,44,4.34292334733,0.0325983819103,-0.15,0.04
9,75,7199397,5896,75,3.75706930554,0.0293024491458,-0.17,0.1
10,85,5866724,6169,50,4.23623657347,0.0247263721182,0.09,0.08
11,87,10593626,5642,50,4.44363449907,0.0310575137065,-0.27,0.08
12,97,5780885,6027,75,3.97294555258,0.039541644281,0.1,0.1
13,98,10264660,6378,75,3.94771907631,0.0404238980933,-0.02,0.1
14,107,11250587,5862,97,4.11736478985,0.0445293823043,0.27,0.11
15,108,4914423,5845,88,4.1631365906,0.0344465397886,0.07,0.11
16,113,2306756,5543,79,4.08368948694,0.0490510208119,0.44,0.1
17,117,10875245,5851,75,4.19704022481,0.0371680865519,0.27,0.1
18,118,3531558,5747,85,4.18314408681,0.0375539035396,0.03,0.1
19,119,9471974,5854,92,3.89568098905,0.0522819309515,0.31,0.11
20,122,8349582,5699,74,4.17194455089,0.0371020221618,0.3,0.1
21,123,5094751,5952,75,4.2119240076,0.0349966595906,-0.08,0.1
22,168,11512246,5828,100,4.09150499657,0.0392529346794,-0.05,0.1
23,244,4349452,6270,79,4.27899957427,0.0259456728145,-0.04,0.1
24,245,8478994,5417,75,4.56790909302,0.0446197943765,-0.32,0.07
25,246,11295426,5793,74,4.28250733581,0.0237835613349,0.12,0.07
26,257,5514383,6184,81,4.36067727443,0.0245743924889,0.12,0.1
27,260,8292840,6239,94,4.24744504917,0.0256978969434,-0.14,0.1
28,262,11807274,6225,75,4.13894352401,0.029099729827,-0.0,0.08
29,263,10514430,5784,98,4.06353498281,0.0329335673995,-0.11,0.11
30,268,3425851,6343,85,4.25743186116,0.0255526610451,-0.04,0.1
31,269,7670943,6463,110,4.23740649643,0.0237583018427,0.09,0.11
32,270,6528464,5588,99,4.09189169778,0.0297170810887,-0.1,0.1
33,271,9451706,6106,106,4.26541092011,0.0359857205402,0.33,0.1
34,273,3102384,5739,75,4.39975446572,0.0240853557227,0.35,0.1
35,274,8077137,6072,75,4.07208707875,0.0324136977042,-0.09,0.1
36,275,10586004,5770,83,4.08630513671,0.0414527007875,0.29,0.1
37,276,11133306,5982,82,4.32280371905,0.0300694092608,-0.02,0.1
38,277,11401755,5911,66,4.04597653673,0.0197208904654,-0.2,0.06
39,279,12314973,6215,89,4.17567390348,0.051143663835,0.28,0.1
40,280,4141376,6134,91,4.41637240778,0.0351132265714,-0.24,0.1
41,281,4143755,5622,106,4.08890977206,0.0393108560274,-0.4,0.11
42,282,5088536,5884,75,4.30492719255,0.0358853825959,-0.22,0.1
43,285,6196457,5871,94,4.05770612259,0.0372512357973,0.17,0.11
44,288,9592705,6174,92,3.96140445088,0.0285220817171,0.22,0.1
45,319,8684730,5882,87,3.93122464078,0.04269718959,0.16,0.1
46,370,8494142,6144,106,4.02432948715,0.0389100756842,0.13,0.1
47,371,5652983,5198,95,3.61712194548,0.0490540704879,0.19,0.11
48,623,12068975,6004,102,4.30472302413,0.0362260215035,-0.38,0.1
49,674,7277317,4883,75,3.63962142876,0.0547791612889,0.16,0.1
50,974,9414417,6253,75,4.00741903186,0.0345238199551,-0.13,0.1
51,975,3632418,6131,44,4.02650705834,0.00977518310697,-0.15,0.06
52,981,8607720,5066,75,3.12330616618,0.0280354578076,-0.33,0.1
53,1019,8179973,5009,75,3.45232075127,0.0361600561106,-0.02,0.1
54,1054,6032981,5254,97,,,-0.94,0.16
55,1221,3640905,4991,75,3.61648662971,0.0309358721456,0.28,0.1
56,1222,4060815,5055,75,3.44934439735,0.05973598909,-0.07,0.1
57,1230,6470149,5015,97,2.99148042166,0.0533273257649,-0.21,0.16
58,1241,6448890,4840,97,3.30632134487,0.0497465663517,0.2,0.16
59,1282,8822366,6034,92,4.08376004428,0.0402646904512,-0.14,0.1
60,1299,10864656,4995,78,3.33153928376,0.0391540178862,-0.07,0.1
61,1314,10585852,5048,75,3.46693843406,0.0397487268725,-0.03,0.1
62,1537,9872292,6260,116,4.05182917977,0.0379831838072,0.1,0.11
63,1612,10963065,6104,74,4.29517741569,0.0324855881107,-0.2,0.1
64,1613,6268648,6044,117,4.19614683479,0.0416234180557,-0.24,0.11
65,1618,7215603,6173,93,4.18658192564,0.0332456577315,0.17,0.1
66,1621,5561278,6081,75,3.96851330598,0.0403033111421,-0.03,0.1
67,1890,7449136,6099,75,4.13519823108,0.0357845407364,0.04,0.1
68,1894,11673802,4992,75,3.43036884113,0.0725810242132,0.04,0.1
69,1924,5108214,5844,75,3.80529578532,0.0297442597938,0.21,0.1
70,1925,9955598,5460,75,4.49956791184,0.0310166749913,0.08,0.1
71,1930,5511081,5923,77,4.01749529407,0.0491294592986,-0.07,0.1
72,1962,5513648,5904,85,4.13842193554,0.0432438554776,-0.07,0.1
73,2133,8219268,4605,97,2.93726712564,0.0665701756715,0.29,0.16
74,2481,4476423,4553,97,2.60681023777,0.0816341121767,0.42,0.16
75,2545,9696358,6131,75,3.93140916848,0.0575525389595,0.13,0.1
76,2640,9088780,4854,97,2.79602665478,0.044756361688,-0.33,0.16
